song,artist,bpm,energy,valence,instrumentalness,danceability
Silent Focus 1,Study Lab,67,0.24,0.39,1.0,0.54
Idea Spark 2,Creative Studio,102,0.64,0.7,0.19,0.79
Deep Thought 3,Piano Study,54,0.15,0.38,1.0,0.39
Deep Thought 4,Piano Study,58,0.21,0.39,0.97,0.38
Night Reading 5,LoFi Study,69,0.2,0.43,0.96,0.48
Creative Pulse 6,Beat Maker,99,0.6,0.72,0.31,0.82
Brain Power 7,Focus Lab,81,0.58,0.56,0.22,0.62
Dreamscape 8,LoFi Beats,73,0.28,0.38,0.94,0.58
Calm Ocean 9,Relax Sound,55,0.19,0.5,1.0,0.38
Dreamscape 10,LoFi Beats,70,0.21,0.43,0.97,0.52
Night Reading 11,LoFi Study,60,0.18,0.41,1.0,0.49
Dreamscape 12,LoFi Beats,71,0.24,0.4,0.9,0.54
Brain Power 13,Focus Lab,88,0.59,0.65,0.23,0.61
Calm Ocean 14,Relax Sound,64,0.17,0.48,0.99,0.44
Brain Power 15,Focus Lab,81,0.56,0.58,0.19,0.68
Creative Pulse 16,Beat Maker,92,0.63,0.74,0.31,0.8
Dreamscape 17,LoFi Beats,76,0.3,0.42,0.99,0.6
Calm Ocean 18,Relax Sound,57,0.16,0.45,1.0,0.41
Deep Thought 19,Piano Study,54,0.14,0.42,0.97,0.41
Dreamscape 20,LoFi Beats,73,0.24,0.39,0.99,0.52
Night Reading 21,LoFi Study,68,0.23,0.4,0.96,0.5
Coding Flow 22,Tech Beats,101,0.69,0.68,0.14,0.8
Night Reading 23,LoFi Study,70,0.2,0.44,0.94,0.43
Calm Ocean 24,Relax Sound,65,0.19,0.52,1.0,0.44
Morning Energy 25,Active Beats,117,0.77,0.71,0.05,0.88
Creative Pulse 26,Beat Maker,100,0.64,0.7,0.26,0.77
Dreamscape 27,LoFi Beats,71,0.28,0.42,0.92,0.54
Night Reading 28,LoFi Study,63,0.21,0.42,0.97,0.48
Deep Thought 29,Piano Study,59,0.19,0.42,1.0,0.42
Silent Focus 30,Study Lab,64,0.17,0.32,0.94,0.51
Dreamscape 31,LoFi Beats,74,0.27,0.36,0.96,0.58
Deep Thought 32,Piano Study,61,0.15,0.4,1.0,0.41
Calm Ocean 33,Relax Sound,56,0.12,0.52,0.96,0.37
Night Reading 34,LoFi Study,66,0.21,0.42,1.0,0.47
Creative Pulse 35,Beat Maker,99,0.58,0.73,0.32,0.76
Dreamscape 36,LoFi Beats,76,0.22,0.38,0.99,0.58
Deep Thought 37,Piano Study,61,0.17,0.42,0.99,0.42
Idea Spark 38,Creative Studio,100,0.68,0.76,0.11,0.82
Creative Pulse 39,Beat Maker,91,0.57,0.73,0.33,0.8
Night Reading 40,LoFi Study,64,0.23,0.4,0.99,0.46
Creative Pulse 41,Beat Maker,90,0.64,0.7,0.34,0.83
Dreamscape 42,LoFi Beats,77,0.22,0.39,0.95,0.57
Night Reading 43,LoFi Study,63,0.18,0.4,1.0,0.44
Morning Energy 44,Active Beats,117,0.8,0.79,0.09,0.81
Dreamscape 45,LoFi Beats,67,0.22,0.35,1.0,0.51
Dreamscape 46,LoFi Beats,75,0.3,0.38,0.99,0.51
Deep Thought 47,Piano Study,61,0.21,0.42,0.94,0.36
Creative Pulse 48,Beat Maker,92,0.64,0.68,0.35,0.8
Night Reading 49,LoFi Study,64,0.24,0.47,1.0,0.51
Coding Flow 50,Tech Beats,110,0.71,0.66,0.09,0.76
Coding Flow 51,Tech Beats,103,0.74,0.66,0.05,0.78
Night Reading 52,LoFi Study,67,0.2,0.5,1.0,0.48
Coding Flow 53,Tech Beats,107,0.73,0.62,0.13,0.76
Brain Power 54,Focus Lab,81,0.55,0.61,0.24,0.66
Coding Flow 55,Tech Beats,105,0.75,0.65,0.1,0.71
Brain Power 56,Focus Lab,82,0.5,0.64,0.23,0.68
Coding Flow 57,Tech Beats,100,0.7,0.62,0.07,0.71
Night Reading 58,LoFi Study,60,0.24,0.49,0.98,0.51
Night Reading 59,LoFi Study,69,0.24,0.41,0.99,0.5
Morning Energy 60,Active Beats,118,0.84,0.76,0.02,0.86
Night Reading 61,LoFi Study,61,0.23,0.45,1.0,0.5
Calm Ocean 62,Relax Sound,58,0.11,0.46,0.95,0.39
Night Reading 63,LoFi Study,61,0.18,0.41,0.94,0.51
Silent Focus 64,Study Lab,73,0.22,0.33,0.99,0.48
Creative Pulse 65,Beat Maker,92,0.57,0.73,0.32,0.79
Creative Pulse 66,Beat Maker,100,0.6,0.69,0.27,0.79
Deep Thought 67,Piano Study,54,0.17,0.43,0.96,0.37
Morning Energy 68,Active Beats,124,0.76,0.78,0.01,0.82
Morning Energy 69,Active Beats,120,0.85,0.71,0.02,0.89
Coding Flow 70,Tech Beats,109,0.69,0.66,0.12,0.78
Night Reading 71,LoFi Study,68,0.17,0.48,0.96,0.45
Night Reading 72,LoFi Study,60,0.22,0.47,0.92,0.43
Deep Thought 73,Piano Study,59,0.14,0.42,1.0,0.43
Morning Energy 74,Active Beats,123,0.84,0.7,0.08,0.82
Coding Flow 75,Tech Beats,110,0.66,0.65,0.13,0.79
Calm Ocean 76,Relax Sound,65,0.12,0.49,1.0,0.39
Coding Flow 77,Tech Beats,105,0.74,0.67,0.13,0.76
Brain Power 78,Focus Lab,80,0.5,0.6,0.23,0.63
Morning Energy 79,Active Beats,125,0.78,0.7,0.03,0.85
Morning Energy 80,Active Beats,119,0.81,0.79,0.08,0.83
Deep Thought 81,Piano Study,62,0.22,0.42,1.0,0.41
Dreamscape 82,LoFi Beats,76,0.23,0.37,0.92,0.52
Night Reading 83,LoFi Study,62,0.18,0.49,0.99,0.46
Brain Power 84,Focus Lab,86,0.54,0.62,0.24,0.61
Creative Pulse 85,Beat Maker,94,0.57,0.71,0.34,0.8
Calm Ocean 86,Relax Sound,61,0.12,0.53,0.97,0.44
Calm Ocean 87,Relax Sound,61,0.11,0.48,1.0,0.38
Calm Ocean 88,Relax Sound,60,0.15,0.5,1.0,0.39
Calm Ocean 89,Relax Sound,57,0.14,0.49,0.99,0.43
Brain Power 90,Focus Lab,84,0.59,0.61,0.22,0.67
Brain Power 91,Focus Lab,90,0.54,0.61,0.19,0.6
Silent Focus 92,Study Lab,68,0.19,0.38,0.94,0.51
Night Reading 93,LoFi Study,60,0.23,0.44,0.98,0.5
Morning Energy 94,Active Beats,120,0.79,0.76,0.06,0.84
Idea Spark 95,Creative Studio,105,0.66,0.75,0.11,0.8
Coding Flow 96,Tech Beats,102,0.7,0.64,0.06,0.7
Brain Power 97,Focus Lab,87,0.53,0.6,0.16,0.6
Morning Energy 98,Active Beats,116,0.78,0.76,0.02,0.85
Silent Focus 99,Study Lab,64,0.21,0.3,0.98,0.52
Creative Pulse 100,Beat Maker,95,0.57,0.68,0.32,0.85
Deep Thought 101,Piano Study,57,0.17,0.44,1.0,0.41
Night Reading 102,LoFi Study,60,0.25,0.43,0.98,0.5
Dreamscape 103,LoFi Beats,67,0.28,0.4,0.9,0.57
Morning Energy 104,Active Beats,124,0.8,0.77,0.01,0.83
Deep Thought 105,Piano Study,61,0.19,0.4,0.96,0.35
Creative Pulse 106,Beat Maker,99,0.6,0.7,0.3,0.75
Dreamscape 107,LoFi Beats,70,0.29,0.37,0.93,0.53
Idea Spark 108,Creative Studio,100,0.66,0.77,0.11,0.77
Brain Power 109,Focus Lab,82,0.53,0.57,0.22,0.6
Night Reading 110,LoFi Study,68,0.22,0.49,1.0,0.51
Night Reading 111,LoFi Study,67,0.25,0.43,1.0,0.44
Calm Ocean 112,Relax Sound,61,0.15,0.51,1.0,0.4
Creative Pulse 113,Beat Maker,90,0.65,0.75,0.34,0.83
Idea Spark 114,Creative Studio,105,0.64,0.73,0.11,0.74
Night Reading 115,LoFi Study,61,0.26,0.43,1.0,0.43
Creative Pulse 116,Beat Maker,95,0.59,0.68,0.26,0.82
Night Reading 117,LoFi Study,64,0.17,0.47,0.95,0.51
Coding Flow 118,Tech Beats,105,0.7,0.67,0.06,0.8
Dreamscape 119,LoFi Beats,77,0.29,0.43,0.99,0.59
Deep Thought 120,Piano Study,56,0.13,0.4,1.0,0.4
Idea Spark 121,Creative Studio,102,0.71,0.71,0.14,0.76
Creative Pulse 122,Beat Maker,96,0.58,0.7,0.34,0.8
Silent Focus 123,Study Lab,70,0.19,0.31,0.93,0.47
Morning Energy 124,Active Beats,118,0.81,0.72,0.0,0.88
Calm Ocean 125,Relax Sound,61,0.13,0.5,1.0,0.36
Deep Thought 126,Piano Study,58,0.18,0.43,1.0,0.37
Coding Flow 127,Tech Beats,104,0.7,0.69,0.05,0.8
Brain Power 128,Focus Lab,81,0.56,0.62,0.21,0.61
Night Reading 129,LoFi Study,67,0.21,0.5,1.0,0.48
Calm Ocean 130,Relax Sound,58,0.2,0.49,1.0,0.44
Calm Ocean 131,Relax Sound,63,0.19,0.52,0.95,0.37
Morning Energy 132,Active Beats,118,0.81,0.79,0.03,0.81
Silent Focus 133,Study Lab,73,0.19,0.39,1.0,0.47
Dreamscape 134,LoFi Beats,73,0.28,0.36,1.0,0.59
Coding Flow 135,Tech Beats,109,0.73,0.63,0.14,0.73
Dreamscape 136,LoFi Beats,67,0.28,0.42,0.97,0.57
Calm Ocean 137,Relax Sound,62,0.19,0.53,1.0,0.36
Morning Energy 138,Active Beats,122,0.75,0.72,0.09,0.85
Brain Power 139,Focus Lab,90,0.53,0.6,0.18,0.69
Deep Thought 140,Piano Study,62,0.18,0.47,1.0,0.4
Creative Pulse 141,Beat Maker,92,0.63,0.7,0.25,0.81
Calm Ocean 142,Relax Sound,62,0.18,0.5,0.97,0.41
Idea Spark 143,Creative Studio,102,0.7,0.72,0.12,0.79
Silent Focus 144,Study Lab,67,0.24,0.39,0.95,0.5
Morning Energy 145,Active Beats,120,0.76,0.71,0.04,0.81
Morning Energy 146,Active Beats,123,0.79,0.72,0.08,0.8
Calm Ocean 147,Relax Sound,63,0.17,0.5,0.95,0.45
Brain Power 148,Focus Lab,83,0.57,0.57,0.17,0.66
Idea Spark 149,Creative Studio,105,0.66,0.75,0.19,0.76
Deep Thought 150,Piano Study,62,0.14,0.4,0.99,0.39
Brain Power 151,Focus Lab,85,0.52,0.6,0.24,0.62
Morning Energy 152,Active Beats,122,0.77,0.74,0.08,0.88
Morning Energy 153,Active Beats,117,0.83,0.75,0.09,0.84
Dreamscape 154,LoFi Beats,68,0.25,0.37,0.91,0.59
Brain Power 155,Focus Lab,90,0.52,0.59,0.19,0.62
Brain Power 156,Focus Lab,87,0.5,0.61,0.16,0.61
Silent Focus 157,Study Lab,70,0.16,0.34,1.0,0.49
Silent Focus 158,Study Lab,67,0.19,0.33,1.0,0.49
Brain Power 159,Focus Lab,87,0.6,0.55,0.25,0.68
Night Reading 160,LoFi Study,66,0.23,0.41,0.99,0.52
Coding Flow 161,Tech Beats,110,0.71,0.7,0.09,0.73
Night Reading 162,LoFi Study,63,0.2,0.41,1.0,0.45
Morning Energy 163,Active Beats,125,0.81,0.8,0.02,0.9
Creative Pulse 164,Beat Maker,97,0.6,0.68,0.33,0.83
Brain Power 165,Focus Lab,90,0.58,0.58,0.22,0.66
Morning Energy 166,Active Beats,124,0.82,0.71,0.01,0.9
Night Reading 167,LoFi Study,70,0.21,0.46,1.0,0.52
Morning Energy 168,Active Beats,123,0.78,0.75,0.05,0.86
Night Reading 169,LoFi Study,67,0.25,0.41,1.0,0.52
Dreamscape 170,LoFi Beats,67,0.26,0.44,0.98,0.57
Idea Spark 171,Creative Studio,99,0.67,0.72,0.12,0.75
Coding Flow 172,Tech Beats,103,0.68,0.68,0.13,0.72
Night Reading 173,LoFi Study,67,0.25,0.47,1.0,0.53
Night Reading 174,LoFi Study,63,0.26,0.45,1.0,0.45
Brain Power 175,Focus Lab,84,0.58,0.59,0.16,0.67
Coding Flow 176,Tech Beats,105,0.7,0.67,0.09,0.71
Silent Focus 177,Study Lab,68,0.19,0.39,1.0,0.52
Calm Ocean 178,Relax Sound,60,0.11,0.48,0.99,0.35
Coding Flow 179,Tech Beats,103,0.72,0.63,0.09,0.73
Coding Flow 180,Tech Beats,110,0.7,0.66,0.05,0.73
Night Reading 181,LoFi Study,66,0.2,0.46,1.0,0.49
Silent Focus 182,Study Lab,63,0.22,0.36,0.93,0.49
Coding Flow 183,Tech Beats,109,0.71,0.67,0.05,0.71
Dreamscape 184,LoFi Beats,74,0.28,0.41,0.93,0.56
Night Reading 185,LoFi Study,62,0.19,0.45,1.0,0.52
Morning Energy 186,Active Beats,125,0.83,0.74,0.02,0.86
Coding Flow 187,Tech Beats,107,0.75,0.62,0.12,0.75
Idea Spark 188,Creative Studio,97,0.71,0.77,0.19,0.77
Creative Pulse 189,Beat Maker,98,0.55,0.72,0.34,0.78
Coding Flow 190,Tech Beats,103,0.7,0.63,0.15,0.71
Calm Ocean 191,Relax Sound,61,0.17,0.51,0.96,0.35
Coding Flow 192,Tech Beats,110,0.73,0.69,0.08,0.76
Creative Pulse 193,Beat Maker,92,0.55,0.66,0.26,0.83
Night Reading 194,LoFi Study,64,0.18,0.43,0.95,0.45
Creative Pulse 195,Beat Maker,98,0.62,0.74,0.29,0.82
Creative Pulse 196,Beat Maker,98,0.56,0.66,0.35,0.79
Calm Ocean 197,Relax Sound,60,0.16,0.53,1.0,0.42
Creative Pulse 198,Beat Maker,98,0.57,0.68,0.3,0.76
Idea Spark 199,Creative Studio,104,0.7,0.75,0.14,0.79
Coding Flow 200,Tech Beats,101,0.71,0.7,0.14,0.73
Brain Power 201,Focus Lab,85,0.56,0.64,0.15,0.7
Idea Spark 202,Creative Studio,103,0.68,0.69,0.12,0.77
Calm Ocean 203,Relax Sound,65,0.17,0.51,1.0,0.4
Creative Pulse 204,Beat Maker,95,0.59,0.69,0.26,0.82
Dreamscape 205,LoFi Beats,77,0.21,0.39,0.97,0.51
Dreamscape 206,LoFi Beats,73,0.24,0.41,0.95,0.59
Coding Flow 207,Tech Beats,105,0.73,0.62,0.1,0.72
Calm Ocean 208,Relax Sound,63,0.17,0.52,1.0,0.44
Dreamscape 209,LoFi Beats,74,0.29,0.44,0.91,0.52
Idea Spark 210,Creative Studio,102,0.7,0.76,0.19,0.83
Coding Flow 211,Tech Beats,104,0.65,0.61,0.14,0.72
Night Reading 212,LoFi Study,68,0.19,0.45,0.98,0.51
Coding Flow 213,Tech Beats,106,0.7,0.69,0.13,0.7
Idea Spark 214,Creative Studio,105,0.73,0.73,0.18,0.77
Silent Focus 215,Study Lab,66,0.22,0.35,1.0,0.47
Brain Power 216,Focus Lab,81,0.5,0.62,0.17,0.66
Dreamscape 217,LoFi Beats,72,0.24,0.36,0.92,0.56
Morning Energy 218,Active Beats,123,0.83,0.76,0.03,0.89
Brain Power 219,Focus Lab,82,0.51,0.59,0.17,0.63
Silent Focus 220,Study Lab,63,0.15,0.39,0.96,0.52
Silent Focus 221,Study Lab,64,0.2,0.37,1.0,0.52
Silent Focus 222,Study Lab,69,0.2,0.36,0.96,0.52
Deep Thought 223,Piano Study,56,0.22,0.45,1.0,0.34
Calm Ocean 224,Relax Sound,62,0.12,0.46,1.0,0.36
Coding Flow 225,Tech Beats,107,0.74,0.69,0.11,0.75
Dreamscape 226,LoFi Beats,68,0.28,0.44,0.95,0.56
Idea Spark 227,Creative Studio,104,0.7,0.75,0.17,0.83
Calm Ocean 228,Relax Sound,58,0.11,0.49,0.96,0.39
Dreamscape 229,LoFi Beats,72,0.21,0.37,0.94,0.58
Idea Spark 230,Creative Studio,101,0.71,0.76,0.18,0.8
Silent Focus 231,Study Lab,73,0.19,0.34,0.97,0.51
Coding Flow 232,Tech Beats,105,0.73,0.63,0.07,0.7
Calm Ocean 233,Relax Sound,62,0.13,0.51,0.99,0.37
Creative Pulse 234,Beat Maker,99,0.61,0.66,0.33,0.8
Deep Thought 235,Piano Study,57,0.13,0.37,1.0,0.34
Idea Spark 236,Creative Studio,101,0.64,0.71,0.12,0.73
Coding Flow 237,Tech Beats,110,0.72,0.62,0.13,0.72
Idea Spark 238,Creative Studio,99,0.68,0.72,0.16,0.82
Dreamscape 239,LoFi Beats,75,0.26,0.38,0.99,0.52
Coding Flow 240,Tech Beats,100,0.66,0.67,0.08,0.77
Idea Spark 241,Creative Studio,95,0.66,0.73,0.16,0.78
Brain Power 242,Focus Lab,82,0.57,0.62,0.21,0.66
Creative Pulse 243,Beat Maker,90,0.63,0.66,0.3,0.77
Creative Pulse 244,Beat Maker,96,0.59,0.67,0.31,0.77
Morning Energy 245,Active Beats,124,0.75,0.77,0.03,0.85
Idea Spark 246,Creative Studio,101,0.67,0.7,0.12,0.8
Idea Spark 247,Creative Studio,96,0.72,0.74,0.18,0.82
Creative Pulse 248,Beat Maker,90,0.64,0.71,0.27,0.8
Dreamscape 249,LoFi Beats,75,0.29,0.43,0.97,0.54
Night Reading 250,LoFi Study,66,0.24,0.47,0.95,0.44
Morning Energy 251,Active Beats,122,0.85,0.77,0.05,0.82
Night Reading 252,LoFi Study,69,0.25,0.4,0.95,0.51
Dreamscape 253,LoFi Beats,73,0.3,0.36,0.94,0.53
Idea Spark 254,Creative Studio,101,0.72,0.67,0.19,0.74
Dreamscape 255,LoFi Beats,74,0.22,0.36,0.92,0.5
Night Reading 256,LoFi Study,65,0.27,0.45,0.98,0.51
Morning Energy 257,Active Beats,117,0.76,0.71,0.06,0.82
Coding Flow 258,Tech Beats,104,0.69,0.65,0.15,0.76
